country,min,q_25,mean_r,q_75,max,n_reviews,rank
Bolivia,2.9,4,4.14588235294118,4.3,4.6,192.552941176471,124
Rwanda,3.1,4,4.13333333333333,4.3,4.8,181.122222222222,125
Suriname,3.5,4,4.13134328358209,4.3,4.6,63.089552238806,126
Cape Verde,3.5,4,4.12698412698413,4.3,4.6,123.253968253968,127
Iran,3.4,4,4.12333333333333,4.225,4.8,206.55,128
Bangladesh,3.7,4,4.11764705882353,4.25,4.6,1210.34453781513,129
Bahrain,3.4,4,4.1045045045045,4.2,4.7,314.774774774775,130
Zimbabwe,3,4,4.09578947368421,4.2,4.8,240.547368421053,131
Mozambique,3.6,4,4.09186046511628,4.2,4.7,248.395348837209,132
Namibia,3.1,3.9,4.08705882352941,4.2,4.7,281.870588235294,133
Mauritius,3.5,3.9,4.07051282051282,4.3,4.6,155.115384615385,134
Fiji,2.9,3.9,4.06052631578947,4.2,4.6,113.710526315789,135
Senegal,3.5,3.9,4.05384615384615,4.2,4.5,280.48717948718,136
Jamaica,2.8,3.9,4.04838709677419,4.2,4.7,366.430107526882,137
Sudan,3.2,3.9,4.04269662921348,4.2,4.6,114.921348314607,138
Algeria,2.8,3.9,4.03709677419355,4.2,4.8,81.7580645161291,139
Tunisia,2.3,3.9,4.03368421052632,4.2,4.8,106.357894736842,140
Saudi Arabia,3.4,3.9,4.03025210084034,4.15,4.9,1559.59663865546,141
Afghanistan,3.2,3.9,4.01290322580645,4.1,4.6,75.1451612903226,142
Morocco,3.2,3.9,4.0070796460177,4.2,4.6,309.530973451327,143
Iraq,3.3,3.85,3.98791208791209,4.1,4.8,483.450549450549,144
Angola,2.8,3.9,3.97272727272727,4.2,4.5,236.727272727273,145
Botswana,3.4,3.8,3.96805555555556,4.1,4.6,196.944444444444,146
Zambia,2.7,3.8,3.95696202531646,4.2,4.6,193.417721518987,147
Mali,3.5,3.8,3.93333333333333,4.1,4.5,147.857142857143,148
Haiti,3,3.7,3.90735294117647,4.2,4.4,168.294117647059,149
Libya,3.3,3.75,3.87462686567164,4.1,4.4,116.522388059702,150
Gabon,3.4,3.7,3.84354838709677,4,4.4,149.064516129032,151
Cameroon,3.1,3.6,3.82,4,4.6,144.857142857143,152
Togo,2.9,3.6,3.79878048780488,4,4.3,187.256097560976,153
